# Region type : patch inlet
# Faces       : 5
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(2.112745e-05 1.809840e-06 0.000000e+00)
0.01          	(1.795268e-05 1.527662e-06 0.000000e+00)
0.015         	(2.168567e-05 1.279695e-06 0.000000e+00)
0.02          	(2.629976e-05 1.025608e-06 0.000000e+00)
0.025         	(3.108153e-05 8.378608e-07 0.000000e+00)
0.03          	(3.575641e-05 6.504856e-07 0.000000e+00)
0.035         	(4.052260e-05 5.428109e-07 0.000000e+00)
0.04          	(4.504180e-05 4.580513e-07 0.000000e+00)
0.045         	(4.932972e-05 3.888908e-07 0.000000e+00)
0.05          	(5.340302e-05 3.317278e-07 0.000000e+00)
0.055         	(5.727675e-05 2.840359e-07 0.000000e+00)
0.06          	(6.096430e-05 2.439443e-07 0.000000e+00)
0.065         	(6.447705e-05 2.100503e-07 0.000000e+00)
0.07          	(6.782522e-05 1.812561e-07 0.000000e+00)
0.075         	(7.101786e-05 1.567001e-07 0.000000e+00)
0.08          	(7.406310e-05 1.356895e-07 0.000000e+00)
0.085         	(7.696836e-05 1.176620e-07 0.000000e+00)
0.09          	(7.974050e-05 1.021585e-07 0.000000e+00)
0.095         	(8.238588e-05 8.879893e-08 0.000000e+00)
0.1           	(8.491050e-05 7.728754e-08 0.000000e+00)
0.105         	(8.731994e-05 6.729425e-08 0.000000e+00)
0.11          	(8.961955e-05 5.862151e-08 0.000000e+00)
0.115         	(9.181438e-05 5.109899e-08 0.000000e+00)
0.12          	(9.390921e-05 4.457812e-08 0.000000e+00)
0.125         	(9.590866e-05 3.890708e-08 0.000000e+00)
0.13          	(9.781691e-05 3.397696e-08 0.000000e+00)
0.135         	(9.963831e-05 2.968219e-08 0.000000e+00)
0.14          	(1.013765e-04 2.594842e-08 0.000000e+00)
0.145         	(1.030361e-04 2.270156e-08 0.000000e+00)
0.15          	(1.046194e-04 1.986172e-08 0.000000e+00)
0.155         	(1.061310e-04 1.736491e-08 0.000000e+00)
0.16          	(1.075735e-04 1.518657e-08 0.000000e+00)
0.165         	(1.089505e-04 1.327738e-08 0.000000e+00)
0.17          	(1.102645e-04 1.161295e-08 0.000000e+00)
0.175         	(1.115190e-04 1.016082e-08 0.000000e+00)
0.18          	(1.127160e-04 8.903126e-09 0.000000e+00)
0.185         	(1.138588e-04 7.790360e-09 0.000000e+00)
0.19          	(1.149492e-04 6.812103e-09 0.000000e+00)
0.195         	(1.159899e-04 5.992014e-09 0.000000e+00)
0.2           	(1.169834e-04 5.239300e-09 0.000000e+00)
0.205         	(1.179315e-04 4.589726e-09 0.000000e+00)
0.21          	(1.188363e-04 4.042017e-09 0.000000e+00)
0.215         	(1.196999e-04 3.534601e-09 0.000000e+00)
0.22          	(1.205241e-04 3.090414e-09 0.000000e+00)
0.225         	(1.213107e-04 2.736488e-09 0.000000e+00)
0.23          	(1.220615e-04 2.384106e-09 0.000000e+00)
0.235         	(1.227782e-04 2.103753e-09 0.000000e+00)
0.24          	(1.234621e-04 1.837915e-09 0.000000e+00)
0.245         	(1.241150e-04 1.619961e-09 0.000000e+00)
0.25          	(1.247386e-04 1.417615e-09 0.000000e+00)
0.255         	(1.253330e-04 1.246860e-09 0.000000e+00)
0.26          	(1.259007e-04 1.091583e-09 0.000000e+00)
0.265         	(1.264424e-04 9.651984e-10 0.000000e+00)
0.27          	(1.269595e-04 8.466069e-10 0.000000e+00)
0.275         	(1.274530e-04 7.475816e-10 0.000000e+00)
0.28          	(1.279241e-04 6.528395e-10 0.000000e+00)
0.285         	(1.283737e-04 5.715383e-10 0.000000e+00)
0.29          	(1.288028e-04 5.117690e-10 0.000000e+00)
0.295         	(1.292123e-04 4.444226e-10 0.000000e+00)
0.3           	(1.296032e-04 3.935683e-10 0.000000e+00)
0.305         	(1.299763e-04 3.441509e-10 0.000000e+00)
0.31          	(1.303324e-04 3.045337e-10 0.000000e+00)
0.315         	(1.306722e-04 2.667057e-10 0.000000e+00)
0.32          	(1.309965e-04 2.359043e-10 0.000000e+00)
0.325         	(1.313061e-04 2.067732e-10 0.000000e+00)
0.33          	(1.316015e-04 1.828261e-10 0.000000e+00)
0.335         	(1.318835e-04 1.603698e-10 0.000000e+00)
0.34          	(1.321526e-04 1.417518e-10 0.000000e+00)
0.345         	(1.324095e-04 1.244207e-10 0.000000e+00)
0.35          	(1.326546e-04 1.099685e-10 0.000000e+00)
0.355         	(1.328886e-04 9.656625e-11 0.000000e+00)
0.36          	(1.331119e-04 8.537088e-11 0.000000e+00)
0.365         	(1.333251e-04 7.499054e-11 0.000000e+00)
0.37          	(1.335285e-04 6.632544e-11 0.000000e+00)
0.375         	(1.337227e-04 5.828691e-11 0.000000e+00)
0.38          	(1.339080e-04 5.157519e-11 0.000000e+00)
0.385         	(1.340849e-04 4.540911e-11 0.000000e+00)
0.39          	(1.342537e-04 3.995948e-11 0.000000e+00)
0.395         	(1.344148e-04 3.541474e-11 0.000000e+00)
0.4           	(1.345686e-04 3.123507e-11 0.000000e+00)
0.405         	(1.347154e-04 2.726483e-11 0.000000e+00)
0.41          	(1.348555e-04 2.346978e-11 0.000000e+00)
0.415         	(1.349892e-04 2.138077e-11 0.000000e+00)
0.42          	(1.351168e-04 1.954313e-11 0.000000e+00)
0.425         	(1.352386e-04 1.676294e-11 0.000000e+00)
0.43          	(1.353548e-04 1.491953e-11 0.000000e+00)
0.435         	(1.354658e-04 1.325354e-11 0.000000e+00)
0.44          	(1.355717e-04 1.170846e-11 0.000000e+00)
0.445         	(1.356727e-04 1.027031e-11 0.000000e+00)
0.45          	(1.357692e-04 8.927567e-12 0.000000e+00)
0.455         	(1.358613e-04 7.670647e-12 0.000000e+00)
0.46          	(1.359492e-04 6.491516e-12 0.000000e+00)
0.465         	(1.360330e-04 5.762244e-12 0.000000e+00)
0.47          	(1.361131e-04 5.152549e-12 0.000000e+00)
0.475         	(1.361895e-04 4.984107e-12 0.000000e+00)
0.48          	(1.362624e-04 4.267388e-12 0.000000e+00)
0.485         	(1.363320e-04 3.547794e-12 0.000000e+00)
0.49          	(1.363984e-04 2.867483e-12 0.000000e+00)
0.495         	(1.364618e-04 2.958861e-12 0.000000e+00)
0.5           	(1.365223e-04 3.136419e-12 0.000000e+00)
