# Region type : patch inlet
# Faces       : 20
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(2.753350e-05 -2.345207e-08 0.000000e+00)
0.01          	(7.342175e-05 -1.109235e-06 0.000000e+00)
0.015         	(1.179956e-05 7.741478e-06 0.000000e+00)
0.02          	(2.350625e-05 5.397574e-06 0.000000e+00)
0.025         	(2.738599e-05 4.183913e-06 0.000000e+00)
0.03          	(3.207411e-05 3.232554e-06 0.000000e+00)
0.035         	(3.660616e-05 2.648535e-06 0.000000e+00)
0.04          	(4.093124e-05 2.179718e-06 0.000000e+00)
0.045         	(4.503509e-05 1.819055e-06 0.000000e+00)
0.05          	(4.895093e-05 1.530372e-06 0.000000e+00)
0.055         	(5.268247e-05 1.290393e-06 0.000000e+00)
0.06          	(5.623774e-05 1.092900e-06 0.000000e+00)
0.065         	(5.962144e-05 9.303114e-07 0.000000e+00)
0.07          	(6.284470e-05 7.931232e-07 0.000000e+00)
0.075         	(6.591555e-05 6.768375e-07 0.000000e+00)
0.08          	(6.884157e-05 5.786304e-07 0.000000e+00)
0.085         	(7.162937e-05 4.949999e-07 0.000000e+00)
0.09          	(7.428598e-05 4.239670e-07 0.000000e+00)
0.095         	(7.681760e-05 3.632723e-07 0.000000e+00)
0.1           	(7.923021e-05 3.115289e-07 0.000000e+00)
0.105         	(8.152943e-05 2.672166e-07 0.000000e+00)
0.11          	(8.372066e-05 2.293438e-07 0.000000e+00)
0.115         	(8.580863e-05 1.968669e-07 0.000000e+00)
0.12          	(8.779858e-05 1.690574e-07 0.000000e+00)
0.125         	(8.969510e-05 1.452090e-07 0.000000e+00)
0.13          	(9.150264e-05 1.247720e-07 0.000000e+00)
0.135         	(9.322533e-05 1.072112e-07 0.000000e+00)
0.14          	(9.486721e-05 9.214471e-08 0.000000e+00)
0.145         	(9.643206e-05 7.919535e-08 0.000000e+00)
0.15          	(9.792302e-05 6.807783e-08 0.000000e+00)
0.155         	(9.934408e-05 5.852174e-08 0.000000e+00)
0.16          	(1.006985e-04 5.032418e-08 0.000000e+00)
0.165         	(1.019894e-04 4.326651e-08 0.000000e+00)
0.17          	(1.032198e-04 3.720758e-08 0.000000e+00)
0.175         	(1.043924e-04 3.200277e-08 0.000000e+00)
0.18          	(1.055099e-04 2.752522e-08 0.000000e+00)
0.185         	(1.065748e-04 2.367084e-08 0.000000e+00)
0.19          	(1.075896e-04 2.036591e-08 0.000000e+00)
0.195         	(1.085569e-04 1.752654e-08 0.000000e+00)
0.2           	(1.094788e-04 1.507763e-08 0.000000e+00)
0.205         	(1.103574e-04 1.297982e-08 0.000000e+00)
0.21          	(1.111949e-04 1.117157e-08 0.000000e+00)
0.215         	(1.119932e-04 9.619608e-09 0.000000e+00)
0.22          	(1.127540e-04 8.282053e-09 0.000000e+00)
0.225         	(1.134786e-04 7.123328e-09 0.000000e+00)
0.23          	(1.141693e-04 6.147638e-09 0.000000e+00)
0.235         	(1.148277e-04 5.286418e-09 0.000000e+00)
0.24          	(1.154552e-04 4.556469e-09 0.000000e+00)
0.245         	(1.160533e-04 3.924221e-09 0.000000e+00)
0.25          	(1.166234e-04 3.381884e-09 0.000000e+00)
0.255         	(1.171667e-04 2.909033e-09 0.000000e+00)
0.26          	(1.176847e-04 2.509674e-09 0.000000e+00)
0.265         	(1.181783e-04 2.164613e-09 0.000000e+00)
0.27          	(1.186483e-04 1.868643e-09 0.000000e+00)
0.275         	(1.190963e-04 1.612742e-09 0.000000e+00)
0.28          	(1.195234e-04 1.397143e-09 0.000000e+00)
0.285         	(1.199305e-04 1.205996e-09 0.000000e+00)
0.29          	(1.203185e-04 1.044189e-09 0.000000e+00)
0.295         	(1.206883e-04 9.070297e-10 0.000000e+00)
0.3           	(1.210408e-04 7.807129e-10 0.000000e+00)
0.305         	(1.213769e-04 6.761171e-10 0.000000e+00)
0.31          	(1.216972e-04 5.860108e-10 0.000000e+00)
0.315         	(1.220020e-04 5.062841e-10 0.000000e+00)
0.32          	(1.222926e-04 4.405903e-10 0.000000e+00)
0.325         	(1.225696e-04 3.849849e-10 0.000000e+00)
0.33          	(1.228336e-04 3.370508e-10 0.000000e+00)
0.335         	(1.230854e-04 2.972005e-10 0.000000e+00)
0.34          	(1.233253e-04 2.633388e-10 0.000000e+00)
0.345         	(1.235540e-04 2.270547e-10 0.000000e+00)
0.35          	(1.237720e-04 2.011042e-10 0.000000e+00)
0.355         	(1.239799e-04 1.752329e-10 0.000000e+00)
0.36          	(1.241775e-04 1.593153e-10 0.000000e+00)
0.365         	(1.243660e-04 1.386285e-10 0.000000e+00)
