# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(2.546199e-04 1.119186e-07 0.000000e+00)
0.01          	(3.538043e-04 -2.473019e-07 0.000000e+00)
0.015         	(4.603755e-04 -3.017442e-07 0.000000e+00)
0.02          	(5.885557e-04 -2.712790e-07 0.000000e+00)
0.025         	(7.140523e-04 -2.060275e-07 0.000000e+00)
0.03          	(8.349606e-04 -1.635478e-07 0.000000e+00)
0.035         	(9.498325e-04 -1.353457e-07 0.000000e+00)
0.04          	(1.058914e-03 -1.135635e-07 0.000000e+00)
0.045         	(1.162576e-03 -9.639658e-08 0.000000e+00)
0.05          	(1.261149e-03 -8.253301e-08 0.000000e+00)
0.055         	(1.354928e-03 -7.107495e-08 0.000000e+00)
0.06          	(1.444185e-03 -6.146282e-08 0.000000e+00)
0.065         	(1.529162e-03 -5.331754e-08 0.000000e+00)
0.07          	(1.610086e-03 -4.630460e-08 0.000000e+00)
0.075         	(1.687157e-03 -4.020634e-08 0.000000e+00)
0.08          	(1.760579e-03 -3.494295e-08 0.000000e+00)
0.085         	(1.830531e-03 -3.038865e-08 0.000000e+00)
0.09          	(1.897183e-03 -2.641884e-08 0.000000e+00)
0.095         	(1.960697e-03 -2.300024e-08 0.000000e+00)
0.1           	(2.021214e-03 -1.994400e-08 0.000000e+00)
0.105         	(2.078888e-03 -1.729852e-08 0.000000e+00)
0.11          	(2.133853e-03 -1.502659e-08 0.000000e+00)
0.115         	(2.186241e-03 -1.304284e-08 0.000000e+00)
0.12          	(2.236169e-03 -1.127326e-08 0.000000e+00)
0.125         	(2.283756e-03 -9.776540e-09 0.000000e+00)
0.13          	(2.329099e-03 -8.369655e-09 0.000000e+00)
0.135         	(2.372322e-03 -7.172464e-09 0.000000e+00)
0.14          	(2.413516e-03 -6.177858e-09 0.000000e+00)
0.145         	(2.452783e-03 -5.288233e-09 0.000000e+00)
0.15          	(2.490207e-03 -4.483872e-09 0.000000e+00)
0.155         	(2.525879e-03 -3.879997e-09 0.000000e+00)
0.16          	(2.559879e-03 -3.273295e-09 0.000000e+00)
0.165         	(2.592288e-03 -2.797575e-09 0.000000e+00)
0.17          	(2.623169e-03 -2.204067e-09 0.000000e+00)
0.175         	(2.652600e-03 -1.741496e-09 0.000000e+00)
0.18          	(2.680655e-03 -1.351302e-09 0.000000e+00)
0.185         	(2.707398e-03 -1.032759e-09 0.000000e+00)
0.19          	(2.732888e-03 -7.283884e-10 0.000000e+00)
0.195         	(2.757185e-03 -5.226120e-10 0.000000e+00)
0.2           	(2.780342e-03 -3.001074e-10 0.000000e+00)
0.205         	(2.802415e-03 -1.690493e-10 0.000000e+00)
0.21          	(2.823456e-03 -1.875937e-11 0.000000e+00)
0.215         	(2.843512e-03 1.958468e-11 0.000000e+00)
0.22          	(2.862630e-03 1.258094e-10 0.000000e+00)
0.225         	(2.880836e-03 3.811529e-10 0.000000e+00)
0.23          	(2.898194e-03 4.948245e-10 0.000000e+00)
0.235         	(2.914737e-03 6.847522e-10 0.000000e+00)
0.24          	(2.930508e-03 8.167686e-10 0.000000e+00)
0.245         	(2.945538e-03 9.534708e-10 0.000000e+00)
0.25          	(2.959867e-03 1.009199e-09 0.000000e+00)
0.255         	(2.973526e-03 1.041420e-09 0.000000e+00)
0.26          	(2.986545e-03 1.098278e-09 0.000000e+00)
0.265         	(2.998956e-03 1.121673e-09 0.000000e+00)
0.27          	(3.010784e-03 1.097271e-09 0.000000e+00)
0.275         	(3.022055e-03 1.111245e-09 0.000000e+00)
0.28          	(3.032808e-03 1.143111e-09 0.000000e+00)
0.285         	(3.043049e-03 1.092778e-09 0.000000e+00)
0.29          	(3.052815e-03 1.082741e-09 0.000000e+00)
0.295         	(3.062120e-03 1.050476e-09 0.000000e+00)
0.3           	(3.070980e-03 1.206558e-09 0.000000e+00)
0.305         	(3.079423e-03 1.340770e-09 0.000000e+00)
0.31          	(3.087471e-03 1.468574e-09 0.000000e+00)
0.315         	(3.095148e-03 1.524477e-09 0.000000e+00)
0.32          	(3.102462e-03 1.572238e-09 0.000000e+00)
0.325         	(3.109433e-03 1.574238e-09 0.000000e+00)
0.33          	(3.116082e-03 1.566632e-09 0.000000e+00)
0.335         	(3.122422e-03 1.621250e-09 0.000000e+00)
0.34          	(3.128459e-03 1.670215e-09 0.000000e+00)
0.345         	(3.134219e-03 1.701132e-09 0.000000e+00)
0.35          	(3.139708e-03 1.612136e-09 0.000000e+00)
0.355         	(3.144937e-03 1.616764e-09 0.000000e+00)
0.36          	(3.149925e-03 1.572193e-09 0.000000e+00)
0.365         	(3.154680e-03 1.554918e-09 0.000000e+00)
0.37          	(3.159214e-03 1.513397e-09 0.000000e+00)
0.375         	(3.163534e-03 1.481155e-09 0.000000e+00)
0.38          	(3.167654e-03 1.418503e-09 0.000000e+00)
0.385         	(3.171577e-03 1.386220e-09 0.000000e+00)
0.39          	(3.175301e-03 1.588276e-09 0.000000e+00)
